IsBadBuy,RefId
0.0938,47788
0.1188,44205
0.0532,12379
0.0448,57241
0.044,15469
0.0598,44508
0.2056,22141
0.07,1784
0.1344,70992
0.1108,46942
0.0718,59616
0.2558,38135
0.0222,856
0.6478,45270
0.3012,71237
0.1056,12357
0.704,1443
0.2058,42346
0.1086,45912
0.2458,7658
0.1998,44972
0.0594,17293
0.0046,54527
0.037,31633
0.1808,32883
0.1482,51623
0.1102,69107
0.0736,40342
0.057,41946
0.1488,44230
0.0326,71741
0.7476,66657
0.343,4379
0.0518,45057
0.3258,45013
0.023,5003
0.129,57025
0.0528,45321
0.3076,9581
0.1226,1897
0.0924,66091
0.0276,22526
0.072,52670
0.3224,59230
0.3074,41685
0.085,64584
0.0944,71926
0.002,50328
0.0438,3823
0.0,53870
0.1326,20984
0.1542,23676
0.1444,25461
0.095,58318
0.0492,57016
0.2848,57043
0.2654,5160
0.0744,38568
0.2418,28613
0.1182,30725
0.0942,62179
0.1018,22851
0.1462,25194
0.129,14498
0.024,24909
0.0966,3465
0.5192,57151
0.1686,44310
0.0604,4323
0.035,3054
0.0586,23202
0.2086,9917
0.0026,54603
0.0006,31415
0.006,40793
0.157,44102
0.159,139
0.0384,64475
0.0308,23353
0.2476,17620
0.0148,48470
0.0252,5493
0.296,13012
0.179,43631
0.0088,22825
0.153,597
0.0596,28840
0.3178,33113
0.2184,49451
0.211,43374
0.3276,50335
0.38,43915
0.0462,45811
0.1786,43331
0.0896,48176
0.001,42724
0.103,15458
0.1006,33856
0.0952,39857
0.0656,72831
0.3702,55015
0.0202,9661
0.1136,13398
0.0982,44022
0.1862,65327
0.1332,1603
0.1452,1250
0.094,2720
0.0612,13804
0.1166,70595
0.1162,10714
0.0004,21041
0.0424,48537
0.173,28548
0.0548,58329
0.287,64583
0.117,2927
0.0144,42984
0.1486,47720
0.002,55732
0.1014,21185
0.0898,24113
0.2106,4657
0.1932,40989
0.1532,16186
0.1222,18007
0.0576,16578
0.054,41665
0.2082,55203
0.063,90
0.0,22463
0.1866,66715
0.0738,33032
0.1612,8862
0.1234,28559
0.2438,599
0.0402,39643
0.2206,39028
0.7054,42093
0.117,40589
0.0698,6998
0.0842,6719
0.2792,70596
0.608,12089
0.1512,71440
0.1428,22553
0.2066,51763
0.1014,38304
0.0006,4812
0.672,3475
0.1792,59069
0.0476,68788
0.1126,40009
0.0576,65970
0.294,18917
0.1304,40303
0.2602,13603
0.097,62007
0.819,29257
0.028,12012
0.2514,21613
0.2114,45407
0.0734,13612
0.1404,65273
0.0322,32333
0.77,1393
0.3334,22777
0.0432,59585
0.082,9357
0.0878,50215
0.0634,41644
0.0012,31274
0.0796,10885
0.1056,61893
0.0462,4764
0.1078,25293
0.103,28225
0.115,21656
0.1512,10795
0.1,69033
0.146,32413
0.0626,16054
0.0814,7327
0.066,39590
0.149,19299
0.1168,51574
0.025,59478
0.189,3383
0.0996,64731
0.2562,15856
0.389,30547
0.0292,68651
0.1004,33765
0.1422,32100
0.2746,68744
0.1186,6794
0.0154,29495
0.0888,19931
0.0754,57308
0.048,65119
0.046,39131
0.173,15805
0.1618,19019
0.0028,55328
0.0072,2464
0.3018,32534
0.039,62384
0.0146,36557
0.0078,9614
0.001,53563
0.101,32710
0.0854,69804
0.2646,38471
0.0636,45105
0.1438,12168
0.7304,42031
0.1532,16866
0.0688,725
0.0662,65002
0.0474,57832
0.0306,5522
0.0232,11605
0.0766,64587
0.0836,29004
0.0786,41781
0.1026,12843
0.1252,59768
0.0566,6470
0.0204,56099
0.0428,40118
0.28,28667
0.347,29018
0.0904,60884
0.0316,63764
0.221,71839
0.0168,14440
0.0454,49397
0.1996,60716
0.0834,32627
0.028,38245
0.1878,65241
0.2782,26004
0.0072,52079
0.1238,39950
0.062,45252
0.0452,64890
0.0342,62648
0.0892,11510
0.0748,10329
0.158,38469
0.0366,30524
0.0136,34124
0.1106,4145
0.063,34882
0.0226,35310
0.4396,3047
0.1428,6953
0.206,6288
0.09,17177
0.081,62187
0.0594,34039
0.3792,69443
0.0542,55124
0.0628,23880
0.0354,54913
0.1558,28209
0.1438,56172
0.2546,16098
0.3974,32542
0.137,22558
0.284,71431
0.093,41688
0.1148,32422
0.101,56717
0.1132,23505
0.307,2891
0.1492,26556
0.7452,68091
0.0054,62829
0.0144,27736
0.0154,47191
0.1554,8493
0.2414,22528
0.1398,15917
0.0248,49932
0.6144,45504
0.0162,22858
0.1424,35886
0.1328,12557
0.0998,16775
0.117,33890
0.0268,28379
0.0032,30988
0.1716,46632
0.0358,36139
0.0468,6162
0.2552,22355
0.6606,69886
0.0396,35243
0.2292,34989
0.7296,58243
0.0292,12669
0.0854,17995
0.0418,11874
0.0714,9847
0.2952,11676
0.1046,10467
0.1628,66615
0.2058,68616
0.023,24808
0.1564,37077
0.1946,19257
0.1218,45863
0.1462,67510
0.0228,45719
0.1196,19664
0.008,39200
0.1556,39418
0.0496,24833
0.0538,65441
0.1752,57391
0.3186,71048
0.0486,62613
0.3586,43432
0.287,22196
0.0574,4111
0.1282,62441
0.0378,27969
0.2064,31991
0.2026,1476
0.0798,20949
0.0172,38974
0.0056,12986
0.3144,47327
0.0242,18219
0.3136,17133
0.0734,52494
0.2032,25814
0.0252,69198
0.1402,54219
0.0956,63656
0.1156,54310
0.095,33073
0.095,13937
0.0388,63358
0.0142,12689
0.1534,56300
0.0528,547
0.1334,25573
0.0556,49774
0.2262,26748
0.1808,41281
0.0752,44071
0.024,62871
0.0954,66170
0.1086,44519
0.108,43114
0.023,52316
0.012,8911
0.0062,4206
0.0908,510
0.0204,18117
0.1102,65249
0.039,10911
0.1494,30545
0.2524,61996
0.2,1571
0.0504,30373
0.0428,44026
0.1046,63461
0.1688,62059
0.03,24030
0.26,11041
0.162,4930
0.3754,41627
0.1312,70018
0.1264,9256
0.0052,39130
0.0954,1289
0.084,30391
0.1548,63786
0.0428,35968
0.11,13158
0.1548,22319
0.0822,70319
0.2638,12500
0.059,7616
0.114,68638
0.0318,54414
0.0768,51832
0.0688,19222
0.0736,30459
0.052,50924
0.0648,63971
0.0088,53687
0.0252,35435
0.1438,68665
0.061,22164
0.1598,60686
0.0956,45749
0.0622,50931
0.0868,71583
0.2108,71815
0.2996,14269
0.1542,14206
0.1164,38526
0.0634,52539
0.0516,54629
0.1798,70244
0.1452,38812
0.0604,65123
0.3744,26770
0.1424,1955
0.3532,68719
0.2036,10870
0.03,28783
0.054,47431
0.056,1004
0.1028,10553
0.185,28044
0.0908,23458
0.271,45608
0.0184,40819
0.1398,41488
0.3382,11361
0.0556,42450
0.0048,50000
0.1232,57070
0.0192,12456
0.0496,26440
0.2116,56065
0.08,28367
0.0424,41138
0.134,69022
0.0316,56042
0.102,2651
0.0884,40286
0.1854,65654
0.1106,69168
0.2176,8071
0.0456,57659
0.029,27831
0.0024,26626
0.0084,11506
0.0966,578
0.0002,31511
0.0584,52752
0.022,29729
0.141,52623
0.0128,34631
0.3894,52403
0.0944,49477
0.112,36978
0.0888,49722
0.0792,66121
0.1598,70216
0.097,4839
0.0686,27196
0.0782,40894
0.0204,60629
0.0134,46164
0.195,10754
0.0584,741
0.1976,588
0.0024,29726
0.183,27259
0.1704,15802
0.013,38718
0.0316,2423
0.0148,43888
0.0176,36623
0.1404,65896
0.1086,5544
0.047,59730
0.0908,68621
0.1636,65709
0.2464,47930
0.03,31708
0.0766,17115
0.0002,30848
0.0602,2476
0.0664,26194
0.072,70495
0.0234,32277
0.2104,61767
0.1518,52947
0.001,62839
0.0296,19479
0.0856,34255
0.3816,4082
0.0582,2102
0.071,63456
0.1702,10545
0.0452,46008
0.1258,27215
0.4424,16502
0.1842,41294
0.069,72573
0.1326,45672
0.1204,55591
0.0958,33386
0.0952,56177
0.2642,43608
0.083,10148
0.2244,51856
0.0782,18622
0.0982,11781
0.015,10990
0.4062,56754
0.0032,16515
0.0232,26686
0.048,28866
0.3036,69331
0.0528,21762
0.0458,46507
0.0794,4309
0.1186,61769
0.2966,26700
0.1198,41927
0.045,25753
0.0548,1260
0.2244,47301
0.0978,16122
0.0052,55506
0.323,25662
0.3384,63712
0.0972,21885
0.0074,55923
0.1682,9125
0.1718,3906
0.0578,57637
0.2638,48602
0.0764,51465
0.0088,55477
0.0018,30895
0.0914,7264
0.1776,27390
0.2364,51569
0.0502,33108
0.1254,5225
0.0054,31757
0.0024,67179
0.0582,3979
0.0362,14737
0.1094,30202
0.0112,14389
0.2418,60752
0.001,31610
0.0142,24516
0.36,51470
0.3498,63029
0.073,7598
0.2996,40093
0.1202,13616
0.0864,44795
0.0258,49695
0.1388,54951
0.1854,124
0.0684,66164
0.0016,29695
0.2116,36915
0.0242,64567
0.0002,29179
0.1208,41744
0.1058,32696
0.0006,62862
0.009,55230
0.2718,25289
0.0404,35431
0.0434,15728
0.0622,6262
0.1086,26224
0.0028,16489
0.056,32148
0.0648,51850
0.1242,58164
0.1876,60382
0.3314,34177
0.0,55415
0.2722,44606
0.173,9869
0.142,22498
0.2362,1568
0.0462,39813
0.0658,37234
0.048,26098
0.2924,62585
0.0476,50263
0.0518,12320
0.1206,72194
0.0198,53343
0.0478,26236
0.1134,66016
0.1304,45448
0.21,14197
0.0832,24801
0.0392,15319
0.0412,54188
0.1638,1763
0.0864,22371
0.1346,26571
0.2288,48834
0.1112,21167
0.0132,38177
0.0032,65363
0.5082,48207
0.1434,63009
0.0528,27249
0.1704,17108
0.1096,6845
0.0118,46113
0.161,48788
0.0356,62664
0.0928,37998
0.056,19807
0.2348,4055
0.033,1940
0.0606,67434
0.1926,28854
0.1268,35022
0.445,67914
0.3634,25373
0.1318,41105
0.3944,48803
0.0294,52324
0.1654,47138
0.017,15294
0.0208,35364
0.022,13974
0.0532,58873
0.0012,43333
0.0322,67286
0.0894,66267
0.0814,4327
0.1202,9750
0.1274,71641
0.2312,16596
0.0834,59444
0.2304,57779
0.0302,38527
0.1416,26561
0.368,32434
0.0688,66975
0.1392,49854
0.0162,13499
0.1402,63518
0.0592,30564
0.06,41243
0.2586,32839
0.0442,72374
0.0,31507
0.0828,33575
0.2336,52985
0.192,7992
0.1808,65867
0.0002,29492
0.0212,8533
0.29,10826
0.1424,20743
0.027,52500
0.0494,59824
0.067,4521
0.1896,30755
0.3552,10984
0.1362,56540
0.088,33586
0.0484,46305
0.1862,63626
0.0688,62374
0.2936,6604
0.2568,25414
0.0352,26601
0.1216,67279
0.3148,26474
0.4446,37945
0.1136,27935
0.007,29589
0.15,18027
0.098,57870
0.1556,64457
0.1962,35610
0.0092,36595
0.021,12078
0.145,43065
0.109,67466
0.0992,14859
0.0742,10812
0.1494,51211
0.0334,63584
0.0812,32397
0.2176,41114
0.035,58656
0.013,9765
0.0278,48346
0.0538,34866
0.1616,21986
0.0048,62893
0.04,72968
0.121,47778
0.4352,68404
0.142,10697
0.1028,43051
0.105,22140
0.763,68078
0.3744,12096
0.019,46628
0.0276,64387
0.0946,58843
0.1142,14461
0.3336,45298
0.1228,52938
0.6166,19647
0.0066,61477
0.029,27172
0.0398,1304
0.3558,2433
0.0036,31048
0.1462,2073
0.1874,27433
0.6122,25908
0.1884,45733
0.0232,62614
0.1318,41490
0.6084,67923
0.5854,62033
0.1984,1555
0.0108,29661
0.0894,50713
0.2336,57919
0.184,70916
0.1368,24380
0.4142,25478
0.1714,27228
0.2256,34630
0.2236,42469
0.1006,13655
0.2676,21227
0.1158,50502
0.0012,6074
0.0904,52342
0.246,42917
0.125,12186
0.2598,42485
0.4038,60583
0.1082,54967
0.0542,65212
0.2046,42565
0.1828,54387
0.032,16788
0.1546,66874
0.0294,62002
0.0558,50927
0.1098,65112
0.1846,30312
0.1918,6212
0.025,3141
0.0322,51814
0.2326,42880
0.2626,65702
0.0508,17254
0.2078,17955
0.0176,55685
0.114,64104
0.2116,33484
0.091,45746
0.1544,68692
0.019,47309
0.055,3874
0.325,28891
0.0878,66547
0.0,31683
0.2738,28096
0.0894,38097
0.0022,6065
0.155,40189
0.0136,36496
0.4464,34450
0.1644,5068
0.2004,69657
0.0434,3759
0.0754,8661
0.324,65135
0.1596,52698
0.3628,52357
0.0392,66201
0.0416,15493
0.0512,20808
0.321,10983
0.007,32773
0.0238,1065
0.0584,27128
0.0026,29384
0.1032,50174
0.2718,10609
0.0296,57891
0.1176,40243
0.0014,31599
0.1408,36985
0.1652,59029
0.04,5058
0.0096,18301
0.092,19103
0.0326,72678
0.1202,68528
0.3108,64861
0.0842,12949
0.0804,33320
0.1258,57177
0.0262,24952
0.0982,50549
0.026,7431
0.2296,26052
0.6342,42120
0.0348,32212
0.06,48946
0.2318,14908
0.0184,49269
0.187,48672
0.1626,422
0.1664,32528
0.0218,26607
0.0058,12211
0.0224,67701
0.2106,32356
0.0098,53275
0.1708,58865
0.0296,47413
0.1206,69913
0.1796,47786
0.1246,57797
0.021,18013
0.0092,55333
0.2162,21807
0.1432,56764
0.0878,54186
0.5504,12514
0.1792,7127
0.0012,32239
0.0328,62968
0.0854,59671
0.0596,40877
0.1388,45955
0.0202,50184
0.001,65272
0.0048,45081
0.2014,1970
0.286,20043
0.0012,24600
0.1524,52221
0.1798,25883
0.0524,54261
0.0396,33938
0.1014,14638
0.1022,39357
0.1162,46859
0.1306,12053
0.0616,6572
0.1122,15593
0.0192,61518
0.431,72501
0.0434,50761
0.2272,10384
0.0994,44441
0.137,36501
0.1438,48682
0.0702,23046
0.4314,33784
0.091,65651
0.2946,14183
0.0482,65542
0.0548,10671
0.1096,48452
0.1414,24243
0.0498,30751
0.0038,6071
0.206,15658
0.2482,36230
0.0122,14015
0.025,59721
0.0332,58837
0.04,19559
0.0274,69553
0.037,28094
0.0884,37343
0.0338,62654
0.0434,2060
0.0016,53828
0.1674,33903
0.4074,14735
0.0416,51081
0.0522,17473
0.1096,16893
0.0236,70053
0.0594,21262
0.055,3486
0.2198,60950
0.7436,61884
0.1116,26509
0.1998,49525
0.0938,55353
0.0234,59665
0.0758,5572
0.0092,11559
0.1306,24611
0.1248,54666
0.021,44977
0.0012,50346
0.167,56946
0.0022,9250
0.0684,63319
0.1472,70401
0.1918,63742
0.1314,43365
0.0342,43035
0.1492,40983
0.0578,21741
0.0692,46774
0.073,54205
0.0736,37542
0.1952,35485
0.0352,722
0.358,23163
0.2486,8669
0.0558,42347
0.0032,42932
0.1012,42516
0.2256,7872
0.1388,40485
0.1454,65784
0.0408,23907
0.0326,8192
0.02,23421
0.0024,53849
0.1128,72920
0.2692,70756
0.3406,37552
0.1244,16496
0.235,45326
0.55,62394
0.2312,37772
0.062,67084
0.516,46903
0.216,10860
0.5056,20437
0.656,23783
0.0154,39380
0.2896,33360
0.2288,64812
0.083,19737
0.1178,58914
0.0276,48742
0.1282,33709
0.0466,47469
0.103,72434
0.0856,38620
0.1304,69121
0.0424,4011
0.0266,29204
0.1212,19255
0.0098,11553
0.0798,65120
0.002,64958
0.069,50625
0.088,3904
0.09,63020
0.0014,53631
0.1872,42514
0.6948,1612
0.0762,66327
0.9146,55556
0.3088,65729
0.1276,67925
0.076,70383
0.0618,65041
0.1188,28297
0.2506,45394
0.1878,57611
0.1456,2937
0.0748,72060
0.233,14013
0.0592,69296
0.0144,53578
0.024,64273
0.7114,57804
0.6494,69399
0.1076,38567
0.072,35533
0.1766,27953
0.0712,64208
0.006,31586
0.1936,66543
0.3144,56229
0.0188,55741
0.1866,61035
0.0162,15587
0.2394,16954
0.0734,33808
0.0178,19492
0.0284,70618
0.1326,71786
0.0092,5849
0.0074,55981
0.1172,13723
0.3662,8647
0.0582,30704
0.1998,27951
0.066,41
0.0848,8917
0.3624,1100
0.0774,67608
0.096,30336
0.0302,31616
0.1786,70492
0.3096,7578
0.2188,49252
0.1134,18466
0.1578,50718
0.0468,14780
0.2666,38144
0.002,9783
0.1482,68982
0.0478,8858
0.0656,45699
0.0382,31258
0.0118,53572
0.0314,20195
0.087,20451
0.0798,42955
0.0116,30948
0.0586,72555
0.0748,26602
0.0386,2163
0.0536,24464
0.1888,10643
0.1058,69892
0.1348,68310
0.0854,2679
0.1212,44787
0.0022,8295
0.2316,70457
0.0654,24931
0.1794,28416
0.035,62589
0.0018,54424
0.2468,32046
0.001,53545
0.1,14080
0.1434,24813
0.0846,10907
0.0212,61313
0.107,57080
0.0314,70924
0.0098,46986
0.219,33787
0.0582,48881
0.4872,24383
0.0208,47607
0.0788,39545
0.1244,33048
0.0686,41126
0.281,60658
0.1376,60514
0.0414,25666
0.129,27389
0.1354,20911
0.1342,57149
0.0862,17663
0.031,3717
0.0878,39766
0.1338,16265
0.3616,14742
0.0252,68712
0.0852,37984
0.0214,24048
0.0698,68367
0.0114,5476
0.4782,10647
0.0268,28429
0.0016,11568
0.0556,45090
0.0454,11661
0.2716,34681
0.1216,47522
0.067,62067
0.1144,40497
0.0242,53623
0.0006,31207
0.0928,27912
0.1176,51807
0.0694,64407
0.0948,66233
0.1068,15650
0.0472,2935
0.4368,72688
0.0566,20618
0.1106,52970
0.0264,11631
0.689,70901
0.61,70561
0.0038,39221
0.1846,38392
0.0058,46236
0.024,663
0.211,37364
0.0266,69639
0.0454,27294
0.3662,19110
0.276,36699
0.112,49403
0.0494,16500
0.0986,2401
0.142,25262
0.1304,16638
0.0528,49807
0.2566,8316
0.4242,67439
0.1444,70289
